,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
80,"Mar 22, 2021",54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%,3221.0,4595.700000000004,False,False,,
81,"Mar 23, 2021",54452.5,54117.5,55813.8,52992.3,84.84K,0.54%,-335.0,2821.5,False,False,,
82,"Mar 24, 2021",52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%,1983.699999999997,5444.0,False,False,,
83,"Mar 25, 2021",51322.3,52330.0,53175.4,50441.3,143.35K,-1.92%,1007.6999999999971,2734.0999999999985,False,False,,
84,"Mar 26, 2021",55036.1,51317.4,55074.1,51302.0,100.30K,7.24%,-3718.699999999997,3772.0999999999985,False,False,,
85,"Mar 27, 2021",55862.9,55033.8,56531.1,54010.2,73.87K,1.50%,-829.0999999999985,2520.9000000000015,False,False,,
86,"Mar 28, 2021",55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%,91.70000000000437,1792.8999999999942,False,False,,
87,"Mar 29, 2021",57616.2,55764.7,58392.6,54951.1,107.91K,3.32%,-1851.5,3441.5,False,False,,
88,"Mar 30, 2021",58771.3,57614.6,59366.9,57077.1,86.21K,2.00%,-1156.7000000000044,2289.800000000003,False,False,,
89,"Mar 31, 2021",58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%,7.700000000004366,2804.0,False,False,,
90,"Apr 01, 2021",58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%,44.89999999999418,1365.800000000003,False,False,,
91,"Apr 02, 2021",58977.3,58718.2,60134.9,58466.5,72.37K,0.44%,-259.1000000000058,1668.4000000000015,False,False,,
92,"Apr 03, 2021",57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%,1916.9000000000015,2863.800000000003,False,False,,
93,"Apr 04, 2021",58199.9,57059.7,58464.8,56470.6,57.21K,2.00%,-1140.2000000000044,1994.2000000000044,False,False,,
94,"Apr 05, 2021",58993.4,58202.3,59205.1,56842.7,54.13K,1.36%,-791.0999999999985,2362.4000000000015,False,False,,
95,"Apr 06, 2021",57996.3,59169.0,59487.0,57403.3,77.15K,-1.69%,1172.699999999997,2083.699999999997,False,False,,
96,"Apr 07, 2021",55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%,2047.6000000000058,3138.399999999994,False,False,,
97,"Apr 08, 2021",58077.4,55948.0,58136.7,55721.6,64.78K,3.80%,-2129.4000000000015,2415.0999999999985,False,False,,
98,"Apr 09, 2021",58118.7,58076.8,58890.9,57686.0,59.22K,0.07%,-41.89999999999418,1204.9000000000015,False,False,,
99,"Apr 10, 2021",59748.4,58127.4,61229.0,57900.0,103.72K,2.80%,-1621.0,3329.0,False,False,,
100,"Apr 11, 2021",59978.7,59772.4,60667.1,59250.3,58.20K,0.39%,-206.29999999999563,1416.7999999999956,False,False,,
101,"Apr 12, 2021",59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%,118.29999999999563,1690.7000000000044,False,False,,
102,"Apr 13, 2021",63540.9,59863.6,63659.0,59839.4,126.56K,6.14%,-3677.300000000003,3819.5999999999985,False,False,,
103,"Apr 14, 2021",62980.4,63544.2,64778.0,61366.3,130.43K,-0.88%,563.7999999999956,3411.699999999997,False,False,,
104,"Apr 15, 2021",63216.0,62978.6,63729.1,62067.5,76.97K,0.37%,-237.40000000000146,1661.5999999999985,False,False,,
105,"Apr 16, 2021",61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%,1831.9000000000015,3491.199999999997,False,False,,
106,"Apr 17, 2021",60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%,1316.4000000000015,2837.0,False,False,,
107,"Apr 18, 2021",56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%,3836.0999999999985,8544.5,False,False,,
108,"Apr 19, 2021",55646.1,56208.1,57517.0,54272.3,117.51K,-1.00%,562.0,3244.699999999997,False,False,,
109,"Apr 20, 2021",56483.2,55645.1,57054.9,53422.5,115.49K,1.50%,-838.0999999999985,3632.4000000000015,False,False,,
110,"Apr 21, 2021",53820.2,56479.5,56764.4,53657.6,100.26K,-4.71%,2659.300000000003,3106.800000000003,False,False,,
111,"Apr 22, 2021",51729.5,53821.3,55408.4,50590.9,168.13K,-3.88%,2091.800000000003,4817.5,False,False,,
112,"Apr 23, 2021",51143.6,51707.1,52099.9,47659.4,214.46K,-1.13%,563.5,4440.5,False,True,,False
113,"Apr 24, 2021",50088.9,51140.8,51183.0,48775.2,82.25K,-2.06%,1051.9000000000015,2407.800000000003,False,False,,
